date1,price_gemini,price_bitmex,spread,profit,net_pct_return,cumulative
2022-09-01 17:00:00,7.028,7.1929,229.25384754410697,254.6577875404923,0.02546577875404923,1592.7892349512315
2022-09-01 18:00:00,7.028,7.1878,222.3211552909106,247.74312028715423,0.024774312028715422,1840.5323552383857
2022-09-01 19:00:00,6.949,7.2137,366.9406823128229,391.98663653880953,0.03919866365388095,2232.518991777195
2022-09-01 20:00:00,6.964,7.1907,315.2683327075247,340.44863504248514,0.03404486350424851,2572.96762681968
2022-09-01 21:00:00,6.942,7.1618,306.9060850624137,332.1081292412514,0.03321081292412514,2905.0757560609313
2022-09-01 22:00:00,7.016,7.1765,223.6466243990817,249.0651431756441,0.02490651431756441,3154.1408992365755
2022-09-01 23:00:00,7.049,7.2892,329.52861768095136,354.67184327498086,0.03546718432749808,3508.8127425115563
2022-09-02 00:00:00,7.036,7.27,321.8707015130676,347.03383768913363,0.03470338376891336,3855.84658020069
2022-09-02 01:00:00,7.159,7.234,103.67708045341351,129.40752004423462,0.012940752004423461,3985.2541002449243
2022-09-02 02:00:00,7.145,7.2569,154.19807355758167,179.79715856633194,0.017979715856633195,4165.051258811256
2022-09-02 03:00:00,7.163,7.2569,129.3940938968426,155.0576692527108,0.015505766925271081,4320.108928063967
2022-09-02 04:00:00,7.196,7.2812,117.01367906389169,142.70944349832558,0.014270944349832558,4462.818371562293
2022-09-02 05:00:00,7.192,7.3024,151.1831726555647,176.79009640666024,0.017679009640666023,4639.608467968953
2022-09-02 06:00:00,7.158,7.2523,130.0277153454772,155.68964328557894,0.015568964328557894,4795.298111254532
2022-09-02 07:00:00,7.152,7.2758,170.1531103108955,195.71071222408716,0.019571071222408715,4991.008823478619
2022-09-02 08:00:00,7.265,7.4324,225.23007373123073,250.64447553952954,0.025064447553952953,5241.653299018149
2022-09-02 09:00:00,7.272,7.4161,194.3069807580814,219.8017826081104,0.02198017826081104,5461.455081626259
2022-09-02 10:00:00,7.232,7.5276,392.68824060789484,417.6672511823143,0.04176672511823143,5879.122332808573
2022-09-02 11:00:00,7.23,7.5449,417.3680234330459,442.28286657212,0.044228286657212,6321.405199380693
2022-09-02 12:00:00,7.256,7.5011,326.75207636213236,351.9025209635908,0.03519025209635908,6673.3077203442845
2022-09-02 13:00:00,7.285,7.3751,122.1678350124057,147.85019864137345,0.014785019864137345,6821.1579189856575
2022-09-02 14:00:00,7.295,7.3639,93.5645513926047,119.32128355898392,0.011932128355898393,6940.479202544641
2022-09-02 15:00:00,7.243,7.3044,84.05892338864214,109.84037018783167,0.010984037018783166,7050.319572732473
